Gene	Gene name	Cell type	nCPM
ENSG00000164406	LEAP2	paneth cells	3.9
ENSG00000164406	LEAP2	papillary tip epithelial cells	7.3
ENSG00000164406	LEAP2	parietal cells	42.4
ENSG00000164406	LEAP2	pdcs	2.0
ENSG00000164406	LEAP2	pericytes	3.3
ENSG00000164406	LEAP2	peritubular myoid cells	2.6
ENSG00000164406	LEAP2	pituicytes/fscs	1.3
ENSG00000164406	LEAP2	pituitary stem cells	1.4
ENSG00000164406	LEAP2	plasma cells	3.2
ENSG00000164406	LEAP2	platelets	0.0
ENSG00000164406	LEAP2	podocytes	1.8
ENSG00000164406	LEAP2	prostatic club cells	22.0
ENSG00000164406	LEAP2	prostatic glandular cells	2.2
ENSG00000164406	LEAP2	prostatic hillock cells	4.7
ENSG00000164406	LEAP2	proximal tubule cells	4.6
ENSG00000164406	LEAP2	renal collecting duct intercalated cells	2.4
ENSG00000164406	LEAP2	renal collecting duct principal cells	3.1
ENSG00000164406	LEAP2	renal connecting tubule cells	1.1
ENSG00000164406	LEAP2	respiratory basal cells	5.1
ENSG00000164406	LEAP2	respiratory ciliated cells	1.2
ENSG00000164406	LEAP2	respiratory deuterosomal cells	6.2
ENSG00000164406	LEAP2	respiratory ionocytes	5.1
ENSG00000164406	LEAP2	respiratory secretory cells	5.3
ENSG00000164406	LEAP2	retinal amacrine cells	9.4
ENSG00000164406	LEAP2	retinal bipolar cells	10.6
ENSG00000164406	LEAP2	retinal ganglion cells	11.6
ENSG00000164406	LEAP2	retinal horizontal cells	8.0
ENSG00000164406	LEAP2	retinal pigment epithelial cells	0.0
ENSG00000164406	LEAP2	rod photoreceptor cells	10.9
ENSG00000164406	LEAP2	salivary acinar cells	2.7
ENSG00000164406	LEAP2	salivary basal cells	4.5
ENSG00000164406	LEAP2	salivary duct cells	1.0
ENSG00000164406	LEAP2	salivary ionocytes	1.4
ENSG00000164406	LEAP2	salivary myoepithelial cells	7.4
ENSG00000164406	LEAP2	schwann cells	2.2
ENSG00000164406	LEAP2	sertoli cells	1.1
ENSG00000164406	LEAP2	smooth muscle cells	5.6
ENSG00000164406	LEAP2	somatotrophs	1.0
ENSG00000164406	LEAP2	submucosal glandular cells	1.4
ENSG00000164406	LEAP2	suprabasal keratinocytes	5.1
ENSG00000164406	LEAP2	syncytiotrophoblasts	9.2
ENSG00000164406	LEAP2	t-cells	4.7
ENSG00000164406	LEAP2	thymic myoid cells	4.1
ENSG00000164406	LEAP2	thymocytes	2.5
ENSG00000164406	LEAP2	thyrotrophs	0.0
ENSG00000164406	LEAP2	transitional alveolar cells	2.4
ENSG00000164406	LEAP2	tuft cells	11.5
ENSG00000164406	LEAP2	undifferentiated spermatogonia	1.5
ENSG00000164406	LEAP2	urothelial cells	125.5
ENSG00000164406	LEAP2	vascular endothelial cells	4.0
ENSG00000164406	LEAP2	vascular smooth muscle cells	4.5
ENSG00000177669	MBOAT4	adipocytes	2.1
ENSG00000177669	MBOAT4	adrenal cortex cells	0.4
ENSG00000177669	MBOAT4	adrenal medulla cells	0.0
ENSG00000177669	MBOAT4	alveolar cells type 1	0.1
ENSG00000177669	MBOAT4	alveolar cells type 2	0.1
ENSG00000177669	MBOAT4	astrocytes	0.3
ENSG00000177669	MBOAT4	b-cells	0.4
ENSG00000177669	MBOAT4	basal keratinocytes	0.1
ENSG00000177669	MBOAT4	basal prostatic cells	0.6
ENSG00000177669	MBOAT4	bergmann glia	0.4
ENSG00000177669	MBOAT4	brain excitatory neurons	0.4
ENSG00000177669	MBOAT4	brain inhibitory neurons	0.3
ENSG00000177669	MBOAT4	breast hormone-responsive cells	0.0
ENSG00000177669	MBOAT4	breast lactating cells	0.0
ENSG00000177669	MBOAT4	breast myoepithelial cells	0.0
ENSG00000177669	MBOAT4	breast secretory cells	0.7
ENSG00000177669	MBOAT4	cardiomyocytes	1.5
ENSG00000177669	MBOAT4	cdc	2.3
ENSG00000177669	MBOAT4	cholangiocytes	35.3
ENSG00000177669	MBOAT4	choroid plexus epithelial cells	0.0
ENSG00000177669	MBOAT4	colonocytes	0.5
ENSG00000177669	MBOAT4	cone photoreceptor cells	0.0
ENSG00000177669	MBOAT4	conjunctival goblet cells	0.0
ENSG00000177669	MBOAT4	corticotrophs	0.1
ENSG00000177669	MBOAT4	cytotrophoblasts	0.1
ENSG00000177669	MBOAT4	decidual stromal cells	0.0
ENSG00000177669	MBOAT4	differentiating spermatogonia	0.0
ENSG00000177669	MBOAT4	distal convoluted tubule cells	0.4
ENSG00000177669	MBOAT4	early primary spermatocytes	0.1
ENSG00000177669	MBOAT4	early spermatids	3.3
ENSG00000177669	MBOAT4	endometrial ciliated cells	0.5
ENSG00000177669	MBOAT4	endometrial glandular cells	1.3
ENSG00000177669	MBOAT4	endometrial luminal cells	0.4
ENSG00000177669	MBOAT4	endometrial secretory cells	0.0
ENSG00000177669	MBOAT4	endometrial stromal cells	0.7
ENSG00000177669	MBOAT4	enteric stem cells	0.5
ENSG00000177669	MBOAT4	enteric transient amplifying cells	0.5
ENSG00000177669	MBOAT4	enterocytes	0.1
ENSG00000177669	MBOAT4	ependymal cells	0.0
ENSG00000177669	MBOAT4	epicardial cells	18.2
ENSG00000177669	MBOAT4	epididymal basal cells	0.0
